,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
143,6.8,3.2,5.9,2.3
117,7.7,3.8,6.7,2.2
19,5.1,3.8,1.5,0.3
89,5.5,2.5,4.0,1.3
37,4.9,3.6,1.4,0.1
40,5.0,3.5,1.3,0.3
82,5.8,2.7,3.9,1.2
56,6.3,3.3,4.7,1.6
137,6.4,3.1,5.5,1.8
3,4.6,3.1,1.5,0.2
5,5.4,3.9,1.7,0.4
139,6.9,3.1,5.4,2.1
94,5.6,2.7,4.2,1.3
148,6.2,3.4,5.4,2.3
114,5.8,2.8,5.1,2.4
115,6.4,3.2,5.3,2.3
84,5.4,3.0,4.5,1.5
107,7.3,2.9,6.3,1.8
95,5.7,3.0,4.2,1.2
126,6.2,2.8,4.8,1.8
15,5.7,4.4,1.5,0.4
55,5.7,2.8,4.5,1.3
85,6.0,3.4,4.5,1.6
54,6.5,2.8,4.6,1.5
134,6.1,2.6,5.6,1.4
32,5.2,4.1,1.5,0.1
132,6.4,2.8,5.6,2.2
53,5.5,2.3,4.0,1.3
34,4.9,3.1,1.5,0.2
29,4.7,3.2,1.6,0.2
63,6.1,2.9,4.7,1.4
35,5.0,3.2,1.2,0.2
13,4.3,3.0,1.1,0.1
91,6.1,3.0,4.6,1.4
46,5.1,3.8,1.6,0.2
65,6.7,3.1,4.4,1.4
78,6.0,2.9,4.5,1.5
92,5.8,2.6,4.0,1.2
31,5.4,3.4,1.5,0.4
133,6.3,2.8,5.1,1.5
102,7.1,3.0,5.9,2.1
96,5.7,2.9,4.2,1.3
12,4.8,3.0,1.4,0.1
73,6.1,2.8,4.7,1.2
72,6.3,2.5,4.9,1.5
77,6.7,3.0,5.0,1.7
149,5.9,3.0,5.1,1.8
135,7.7,3.0,6.1,2.3
68,6.2,2.2,4.5,1.5
147,6.5,3.0,5.2,2.0
